,Function,Fit,Parameters,Cost,Trainset,EML
28,Discrete,,,4.839644948003868,460,0.001922667189674281
29,Continuous,weibull_min,1.047804177699128 1.0051173757433607 1.5220953620750488,4.8326350429323,460,0.0004714485855184915
30,Optimal,,,4.830357777590507,510,0
31,Discrete,,,4.983523201348785,510,0.031708919051267506
32,Continuous,beta,0.8658280694270328 11.310037369189192 1.0125839421178844 20.443102829471716,4.831444900461379,510,0.00022506052779677147
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
1,Discrete,,,4.935510973803654,10,0.021769235542134002
2,Continuous,exponpow,0.9235159193055165 1.1907268098197963 4.20067809908279,5.552328558147458,10,0.14946528058571407
3,Optimal,,,4.830357777590507,60,0
4,Discrete,,,4.9335507133976035,60,0.0213634145871844
5,Continuous,beta,0.6710303209492996 1.7419513431820965 1.0512362373305657 6.0634095382595135,5.009468400079622,60,0.03708019793483279
6,Optimal,,,4.830357777590507,110,0
7,Discrete,,,5.064835690051498,110,0.0485425559052386
8,Continuous,exponpow,0.7445015846128455 1.0012493382237173 2.5840610720557597,4.854609219290992,110,0.005020630524098096
9,Optimal,,,4.830357777590507,160,0
10,Discrete,,,4.9340620251872895,160,0.0214692684003446
11,Continuous,beta,0.8946525417348941 13.118034037509585 1.0004790289067955 24.2522727929284,4.8314899382356415,160,0.00023438442808255267
12,Optimal,,,4.830357777590507,210,0
13,Discrete,,,4.992110047298378,210,0.03348660226749431
14,Continuous,weibull_min,1.0066809631404658 1.0071305446882715 1.5619760179765425,4.831833767377417,210,0.00030556531314468867
15,Optimal,,,4.830357777590507,260,0
16,Discrete,,,4.888416183155788,260,0.012019483491395066
17,Continuous,beta,0.9551847988232725 13.632321070657536 1.0007264481474025 23.98271660754743,4.834394850823459,260,0.0008357710585500816
18,Optimal,,,4.830357777590507,310,0
19,Discrete,,,4.811592496720635,310,-0.0038848635512941355
20,Continuous,exponweib,0.6673600825357423 1.1531149532006602 1.0016084878539468 1.986184032592317,4.834385705358216,310,0.0008338777277319553
21,Optimal,,,4.830357777590507,360,0
22,Discrete,,,4.885471351272621,360,0.0114098326086325
23,Continuous,genpareto,-0.016189163759283462 1.0010329936602713 1.498808142724685,4.830640629235802,360,5.855707968616786e-05
24,Optimal,,,4.830357777590507,410,0
25,Discrete,,,4.856573639529465,410,0.005427312664205002
26,Continuous,gamma,0.9008809301300342 1.0005062487192278 1.5816466188176452,4.8360634334170465,410,0.0011812077053608445
27,Optimal,,,4.830357777590507,460,0
28,Discrete,,,4.896852743762862,460,0.013766054034515902
29,Continuous,exponweib,1.087227838863421 0.8746703316706421 1.0073162796106536 1.2538845540766377,4.841601509252117,460,0.0023277223301704348
30,Optimal,,,4.830357777590507,510,0
31,Discrete,,,4.901852180354682,510,0.014801057407353858
32,Continuous,lomax,11.773301696580337 1.002352561557101 16.20571103908963,4.834124775233613,510,0.0007798589289975061
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
1,Discrete,,,5.0672304587816175,10,0.04903833051250049
2,Continuous,exponpow,0.5087574944611066 1.0120025968478241 2.9052694505368657,4.92058189564205,10,0.018678558029411374
3,Optimal,,,4.830357777590507,60,0
4,Discrete,,,5.027929589098498,60,0.040902107174045556
5,Continuous,alpha,3.2406762961169306 -0.6512374765070785 8.7226559855733,4.85165205103592,60,0.004408425716248952
6,Optimal,,,4.830357777590507,110,0
7,Discrete,,,5.0380963480512175,110,0.04300687030357726
8,Continuous,exponweib,0.8078631830320782 1.01857578698483 1.0138025373320494 1.5516927402203153,4.84445165408195,110,0.0029177707201790836
9,Optimal,,,4.830357777590507,160,0
10,Discrete,,,4.97997754500836,160,0.03097488308464119
11,Continuous,pareto,14.984162577941543 -20.161989104394422 21.17132013747034,4.832535189477399,160,0.00045077652363431913
12,Optimal,,,4.830357777590507,210,0
13,Discrete,,,4.913911715629954,210,0.017297670666773225
14,Continuous,lomax,49.41775930675975 1.0046289352991828 73.451579493123,4.8305994779994545,210,5.003778603501925e-05
15,Optimal,,,4.830357777590507,260,0
16,Discrete,,,4.865282576840368,260,0.0072302717227050685
17,Continuous,exponpow,0.7040016886578548 1.007910807775572 2.536673537477165,4.844086582719774,260,0.002842192185630402
18,Optimal,,,4.830357777590507,310,0
19,Discrete,,,4.852425555588347,310,0.004568559724544488
20,Continuous,lognorm,0.9732156001778309 0.9240122161065096 0.8522956842120546,4.884054500332784,310,0.011116510456304596
21,Optimal,,,4.830357777590507,360,0
22,Discrete,,,4.84487966371543,360,0.0030063789875554208
23,Continuous,gamma,1.0294465089811644 1.0132710569523038 1.3511187189453913,4.8341091889456145,360,0.000776632193273866
24,Optimal,,,4.830357777590507,410,0
25,Discrete,,,4.867365717424072,410,0.007661531823844562
26,Continuous,pearson3,2.0123778120529887 2.4560355219738286 1.4648128644868186,4.830716717840218,410,7.430924710722548e-05
27,Optimal,,,4.830357777590507,460,0
28,Discrete,,,4.79677046677144,460,-0.006953379514637382
29,Continuous,beta,0.9348091339427305 107.27494708467803 1.007333030963043 181.92282528279327,4.832600543739037,460,0.0004643064244506116
30,Optimal,,,4.830357777590507,510,0
31,Discrete,,,4.829250472790478,510,-0.00022923867154646093
32,Continuous,exponnorm,1329.7286048815727 0.999508702756041 0.0011471350960153806,4.830565017523613,510,4.290364040265193e-05
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
1,Discrete,,,5.366850297592431,10,0.1110668287328271
2,Continuous,dweibull,0.7173031411869251 4.116811632340087 1.0280247093150643,5.748036362066735,10,0.1899814934482942
3,Optimal,,,4.830357777590507,60,0
4,Discrete,,,5.001704712639952,60,0.03547292828791588
5,Continuous,invgauss,0.8583031036378025 0.7497661490828987 2.299088041669194,4.835075887687454,60,0.0009767620358963587
6,Optimal,,,4.830357777590507,110,0
7,Discrete,,,4.87258150130813,110,0.008741324279023834
8,Continuous,genpareto,-0.058705696015657005 1.007753879839699 1.8162379244065963,4.851986259473392,110,0.004477614884600563
9,Optimal,,,4.830357777590507,160,0
10,Discrete,,,4.8902190102735705,160,0.012392711976901182
11,Continuous,lomax,20.036157499499787 1.005036956575716 29.738038786268696,4.832762546013097,160,0.0004978447836196116
12,Optimal,,,4.830357777590507,210,0
13,Discrete,,,4.902712969025078,210,0.014979261323094722
14,Continuous,gamma,0.9186141390298859 1.0059183250936026 1.4957450166050927,4.837799546269186,210,0.0015406247365782264
15,Optimal,,,4.830357777590507,260,0
16,Discrete,,,4.807943908444029,260,-0.0046402088993205476
17,Continuous,lognorm,1.1051899715802573 0.9614192451128303 0.9411248772844196,4.858531659363402,260,0.005832669766948226
18,Optimal,,,4.830357777590507,310,0
19,Discrete,,,4.913983810831439,310,0.01731259610393643
