,Function,Fit,Parameters,Cost,Trainset,EML
14,Continuous,15,3.3960895365150873e-09 -4.0155321519123617e-07 2.1816753645432444e-05 -0.0007220400576543824 0.01626885689161064 -0.2641857439920344 3.1921265307365414 -29.20696249738599 203.91489905072967 -1085.7877365321956 4371.30366731332 -13061.61375051148 28030.094804420998 -40772.837605655994 35939.93410353162 -14470.502407056094,19.960000002582092,210,0.6720476364727617
15,Optimal,,,11.937458937885499,260,0
16,Discrete,,,11.984501098071709,260,0.003940718073334205
17,Continuous,dweibull,1.2458474000250823 8.04075289415471 1.5911271827136506,11.961965359330186,260,0.0020529010044937246
18,Optimal,,,11.937458937885499,310,0
19,Discrete,,,11.9826326174969,310,0.003784195601966497
20,Continuous,exponweib,3.307984202019787 5.28268940344552 -9.380418338166166 15.790072764163291,11.937973957870929,310,4.314318383083537e-05
21,Optimal,,,11.937458937885499,360,0
22,Discrete,,,12.007652778677103,360,0.00588013254385598
23,Continuous,weibull_min,4.478169737318975 -0.4942571666190207 9.237813397276444,11.948961958816817,360,0.0009636071622254162
24,Optimal,,,11.937458937885499,410,0
25,Discrete,,,11.955641326864162,410,0.0015231373002640494
26,Continuous,beta,11.545345432132443 11.274479773617971 -2.4944254319254235 20.62968435211564,11.942589700705035,410,0.00042980359942880334
27,Optimal,,,11.937458937885499,460,0
28,Discrete,,,11.952849727199068,460,0.0012892852150237747
29,Continuous,norm,8.183891492683948 1.9964730834482451,11.949756148846832,460,0.0010301363988199138
30,Optimal,,,11.937458937885499,510,0
31,Discrete,,,12.000161815794902,510,0.0052526151700849595
32,Continuous,alpha,19.59674166841087 -31.106219108153084 763.6340402132828,11.951514334595812,510,0.0011774194812688564
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,11.937458937885499,10,0
1,Discrete,,,13.864693126779427,10,0.16144425701666978
2,Continuous,dweibull,0.91722121814399 7.072163676060819 2.1057738916004327,12.758470322460372,10,0.06877605936463231
3,Optimal,,,11.937458937885499,60,0
4,Discrete,,,13.767427340360685,60,0.1532963097085494
5,Continuous,dgamma,2.5630211819106936 7.268046421354569 0.5791055998786288,12.372584853083822,60,0.036450463826717724
6,Optimal,,,11.937458937885499,110,0
7,Discrete,,,12.358069254017087,110,0.03523449323010545
8,Continuous,norm,8.257359372190102 2.0402041982045382,11.969385352180575,110,0.0026744732242599016
9,Optimal,,,11.937458937885499,160,0
10,Discrete,,,12.124027722386606,160,0.01562885246113812
11,Continuous,dweibull,1.1780855555142546 8.46692128886128 1.4833134139938315,11.950291860479538,160,0.0010750129203219612
12,Optimal,,,11.937458937885499,210,0
13,Discrete,,,12.133244993789006,210,0.016400982564400556
14,Continuous,15,2.6850016449909795e-10 -3.5994564085306335e-08 2.1747887032993915e-06 -7.874770150359551e-05 0.0019139289578815862 -0.03310450718923878 0.42120022328114326 -4.015465947813161 28.923839424721997 -157.4234296201745 642.1000353279381 -1927.2603221877782 4119.7995515385555 -5919.5008009272215 5110.120479764356 -1997.1528305981308,858.0436969692219,210,70.87825327265239
15,Optimal,,,11.937458937885499,260,0
16,Discrete,,,12.029061838323889,260,0.00767356779319873
17,Continuous,lognorm,0.10953331887193232 -9.612115910598959 17.614108262134586,11.944051808278815,260,0.0005522842363371367
18,Optimal,,,11.937458937885499,310,0
19,Discrete,,,11.956935356304312,310,0.0016315380450861105
20,Continuous,beta,5.336187085071481 4.761223646554955 0.8815096204048989 13.637984416429349,12.007624872044678,310,0.005877794807444021
21,Optimal,,,11.937458937885499,360,0
22,Discrete,,,11.997041893287973,360,0.004991259506106271
23,Continuous,exponweib,7.105169640707011 21.8337175306877 -84.9561975481518 89.52522545493372,11.946063612760785,360,0.0007208129401792554
24,Optimal,,,11.937458937885499,410,0
25,Discrete,,,12.000774851429908,410,0.005303969117201796
26,Continuous,dweibull,1.2412960908416486 7.965082451099844 1.7776683057799079,11.958849752835556,410,0.0017919068925272375
27,Optimal,,,11.937458937885499,460,0
28,Discrete,,,11.96782658835425,460,0.002543895700648162
29,Continuous,beta,29934264.188848823 229.55098770801635 -3999994.326545207 4000033.098394539,11.945968132523785,460,0.0007128145682060274
30,Optimal,,,11.937458937885499,510,0
31,Discrete,,,12.00370417293496,510,0.005549358150185624
32,Continuous,dweibull,1.3472546120170743 7.884269633491433 1.693407134527019,11.965344783532085,510,0.0023359951051296667
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,11.937458937885499,10,0
1,Discrete,,,16.007865254802596,10,0.34097761827678336
2,Continuous,dweibull,0.9489399261588117 7.262091656346061 1.4361984947614346,12.709717226787305,10,0.0646920163596054
3,Optimal,,,11.937458937885499,60,0
4,Discrete,,,12.337037137560067,60,0.033472634482238174
5,Continuous,dgamma,1.8319535780458174 8.057442325460102 0.7761444482469042,11.965451051546955,60,0.0023448971684098437
6,Optimal,,,11.937458937885499,110,0
7,Discrete,,,12.1608142808938,110,0.018710459585284566
8,Continuous,rice,2.9439281870313714 2.2901131338568463 1.8901648407620466,11.939050575449032,110,0.00013333135400219392
9,Optimal,,,11.937458937885499,160,0
10,Discrete,,,12.20034005308553,160,0.022021530425184066
11,Continuous,invgauss,0.015289919272676873 -7.884186124484204 1024.0166740108275,11.99813374622235,160,0.005082723940879135
12,Optimal,,,11.937458937885499,210,0
13,Discrete,,,12.077903771174094,210,0.011765052681594659
14,Continuous,dweibull,1.2553910502885346 8.007652046202459 1.752693701513569,11.955120602142356,210,0.00147951623111395
15,Optimal,,,11.937458937885499,260,0
16,Discrete,,,11.952842582082276,260,0.0012886866691499215
17,Continuous,norm,7.99448084067525 1.9130265839360223,11.9409656349847,260,0.00029375574127188647
18,Optimal,,,11.937458937885499,310,0
19,Discrete,,,12.16220191641696,310,0.018826701704346995
20,Continuous,exponnorm,0.4845763871627955 7.087643273126163 1.7415554263432802,11.953325116604635,310,0.0013291085482842898
21,Optimal,,,11.937458937885499,360,0
22,Discrete,,,11.953509959873507,360,0.0013445928544364005
23,Continuous,beta,14.43846217502433 11.54759341188171 -3.803085255858769 21.159476679706884,11.944913039957548,360,0.0006244295465924265
24,Optimal,,,11.937458937885499,410,0
25,Discrete,,,12.004231239031544,410,0.005593510435804083
26,Continuous,beta,14.770174535749199 22.680219396890738 -1.9940395320196809 25.357693230683687,11.93781507874851,410,2.9833892193058992e-05
